region,perticipation,input,output,water_level_difference,effective_store,store_amount,StnPres,Temperature,RH,water_level
19912.4,19,2316.57,2052.44,0.31,19395.32,0.974,990.7,21.7,84,244.4
19912.4,0,994.56,502.86,0.57,19903.76,0.9996,993.8,19.7,93,244.99
19912.4,0,994.56,502.86,0.57,19903.76,0.9996,998.5,16.9,85,244.99
19912.4,5.1,197.68,292.81,-0.12,17334.93,0.8706,994.4,18.9,79,241.9
19912.4,0.7,183.01,293.6,-0.14,17231.89,0.8654,991.9,22.7,77,241.77
19912.4,9.2,192.91,295.21,-0.13,17129.24,0.8602,992,23.5,83,241.64
19912.4,9.2,223.64,309.78,-0.11,17042.7,0.8559,993.3,21,89,241.53
19912.4,1.6,188.09,305.25,-0.15,16925.15,0.85,996.1,17,87,241.38
19912.4,0.1,150.67,306.19,-0.2,16769.23,0.8422,994.6,17.4,89,241.18
19912.4,0,172.94,304.35,-0.17,16637.44,0.8355,993.5,18.1,87,241.01
19912.4,0,141.18,294.97,-0.2,16483.26,0.8278,995.5,16.8,75,240.81
19912.4,0.2,145.1,297.94,-0.2,16330.01,0.8201,997.5,13.6,76,240.61
19912.4,0,133.8,293.38,-0.21,16170.09,0.8121,994.9,13.8,78,240.4
19912.4,2.4,139.47,297.92,-0.21,16026.29,0.8048,993.8,14.7,94,240.21
19912.4,0,126.46,283.97,-0.21,15853.32,0.7962,998.2,11.8,79,239.98
19912.4,0,123.99,310.27,-0.25,15666.69,0.7868,994.1,12.3,88,239.73
19912.4,13.6,140.3,303.07,-0.22,15503.65,0.7786,993.7,15,80,239.51
19912.4,3.6,153.14,292.76,-0.19,15363.72,0.7716,995.1,15.3,67,239.32
19912.4,3.5,122.2,209.81,-0.12,15268.46,0.7668,995,14.8,87,239.19
19912.4,30.7,197.02,167.56,0.04,15290.41,0.7679,994.3,15.6,87,239.22
19912.4,16.1,349.01,157.64,0.26,15474.12,0.7771,993.8,17.2,79,239.47
19912.4,17.4,321.49,136.08,0.25,15644.39,0.7857,993.6,18.9,77,239.7
19912.4,11.9,380.24,110.67,0.36,15928.37,0.7999,998.9,14,93,240.08
19912.4,0.5,395.12,213.68,0.24,16117.01,0.8094,1001.7,10.8,85,240.33
19912.4,0.7,271.34,233.24,0.05,16162.5,0.8117,1000,12.2,90,240.39
19912.4,3.6,231.41,231.07,0,16162.5,0.8117,1001.9,11.8,92,240.39
19912.4,25.2,275.93,230.14,0.06,16208.07,0.814,1003.7,13.6,68,240.45
19912.4,9.7,355.3,225.36,0.17,16330.01,0.8201,1000.8,13.7,60,240.61
19912.4,8.8,324.55,117.27,0.27,16529.42,0.8301,996,15.8,69,240.87
19912.4,34.7,419.67,132.82,0.37,16808.12,0.8441,992.7,17.4,68,241.23
19912.4,47.4,1463.65,202.99,1.58,18043.02,0.9061,994.4,16.6,78,242.78
19912.4,16.8,1295.09,683.29,0.81,18744.61,0.9414,996.7,14.1,63,243.63
19912.4,23.6,884.44,742.57,0.27,18979.56,0.9532,996.7,15.8,72,243.91
19912.4,16.9,856.77,577.09,0.33,19250.41,0.9668,,,,
