region,perticipation,input,output,water_level_difference,effective_store,store_amount,water_level
33550.5,10.8,83.04,219.54,-0.16,27896.25,0.8315,163.68
33550.5,25.9,151.61,219.81,-0.14,27828.13,0.8294,163.6
33550.5,21.9,270.94,219.84,0.01,27879.22,0.831,163.66
33550.5,74,1527.67,332.67,0.54,29022.03,0.865,164.99
33550.5,6.8,860.84,329.34,1.31,29596.68,0.8822,165.65
33550.5,4.5,390.24,328.94,0.28,29666.69,0.8842,165.73
33550.5,23.6,391.25,215.95,0.05,29824.46,0.8889,165.91
33550.5,10.2,531.78,215.28,0.3,30149.66,0.8986,166.28
33550.5,1.1,391.26,214.96,0.29,30334.82,0.9042,166.49
33550.5,0.1,258.89,214.69,0.12,30378.96,0.9055,166.54
33550.5,15.6,197.6,215.3,0,30361.3,0.9049,166.52
33550.5,13.8,461.79,214.09,0.12,30600.07,0.9121,166.79
33550.5,0.1,278.96,270.06,0.19,30617.79,0.9126,166.81
33550.5,0.1,193.39,326.19,-0.05,30485.02,0.9086,166.66
33550.5,2.7,158.77,326.67,-0.17,30317.16,0.9036,166.47
